%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1745400061605492916,7399,1745400061605313969,gyro_link,0.107748404145,-0.253839671612,-0.349160343409,-0.895568370819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.209794595838,0.364170312881,-0.950853645802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.77930021286,0.11772929877,8.21775054932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1745400061615310207,7400,1745400061615172562,gyro_link,0.108641803265,-0.255312293768,-0.344437539577,-0.896869778633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21149995923,0.353450447321,-0.961421787739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.97155284882,0.119522497058,8.31024742126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1745400061625325023,7401,1745400061625187352,gyro_link,0.109516769648,-0.256711393595,-0.339658021927,-0.89818584919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2127212286,0.338971942663,-0.976765275002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.87239217758,0.00762652186677,8.20076084137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1745400061635546416,7402,1745400061635268155,gyro_link,0.110386185348,-0.258053719997,-0.334808051586,-0.89951479435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213367581367,0.339966475964,-0.987951040268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.92254209518,-0.0131911123171,8.31158542633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1745400061645327660,7403,1745400061645185248,gyro_link,0.111251026392,-0.259366869926,-0.329904258251,-0.900841355324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21392069757,0.322376430035,-0.989964842796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.78148078918,-0.0199029501528,8.19707584381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1745400061655363241,7404,1745400061655231839,gyro_link,0.112093612552,-0.260605186224,-0.324990719557,-0.902164638042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214420214295,0.313342064619,-0.98670655489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.76738357544,-0.0563615262508,8.10418224335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1745400061665509185,7405,1745400061665403579,gyro_link,0.112923152745,-0.261809498072,-0.320080846548,-0.903466939926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.212349176407,0.3101092875,-0.992566585541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.90556144714,-0.211822614074,8.28790473938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1745400061675328369,7406,1745400061675205547,gyro_link,0.113752268255,-0.262982368469,-0.315137952566,-0.904758930206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213560119271,0.303626835346,-1.00689542294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.76814746857,-0.0922078415751,8.29691505432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1745400061685351920,7407,1745400061685198304,gyro_link,0.114587567747,-0.264102309942,-0.310125410557,-0.906058371067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.208315357566,0.30517411232,-1.01494836807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.67687749863,-0.0266984403133,8.25796794891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1745400061695326794,7408,1745400061695174591,gyro_link,0.115456111729,-0.265210866928,-0.30507209897,-0.90733897686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.198135465384,0.29189568758,-1.0091085434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7074007988,-0.0502174720168,8.31998443604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
